,ticker,group_code,company_name,company_short_name
0,VVS,UpcomIndex,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam,Đầu tư Phát triển Máy Việt Nam
1,XDC,UpcomIndex,Công ty TNHH MTV Xây dựng Công trình Tân Cảng,Xây dựng Công trình Tân Cảng
2,HSV,UpcomIndex,Công ty Cổ phần Gang Thép Hà Nội,Gang Thép Hà Nội
3,CST,UpcomIndex,Công ty Cổ phần Than Cao Sơn - TKV,Than Cao Sơn - TKV
4,BVL,UpcomIndex,Công ty Cổ phần BV Land,BV Land
5,SGI,UpcomIndex,Công ty Cổ phần Đầu tư phát triển Sài Gòn 3 Group,ĐT PT Sài Gòn 3 Group
6,TOS,UpcomIndex,Công ty Cổ phần Dịch vụ biển Tân Cảng,Dịch vụ biển Tân Cảng
7,VTZ,HNXIndex,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,Nhựa Việt Thành
8,SSH,UpcomIndex,Công ty Cổ phần Phát triển Sunshine Homes,Phát triển Sunshine Homes
9,BCA,UpcomIndex,Công ty cổ phần B.C.H,Công ty B.C.H
10,FUCTVGF3,VNINDEX,Quỹ Đầu tư Tăng trưởng Thiên Việt 3,Quỹ Đầu tư Tăng trưởng Thiên Việt 3
11,FUEIP100,VNINDEX,Quỹ ETF IPAAM VN100,ETF IPAAM VN100
12,GMH,VNINDEX,Công ty Cổ phần Minh Hưng Quảng Trị,Minh Hưng Quảng Trị
13,BIG,UpcomIndex,Công ty cổ phần BIG Invest Group,BIG Invest Group
14,CMM,UpcomIndex,Công ty Cổ phần Camimex,Camimex
15,CNA,UpcomIndex,Công ty Cổ phần Tổng công ty Chè Nghệ An,Tổng công ty Chè Nghệ An - CTCP
16,FUEKIV30,VNINDEX,Quỹ ETF KIM GROWTH VN30,KIM GROWTH VN30 ETF
17,ODE,UpcomIndex,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,Tập đoàn Truyền thông và Giải trí ODE
18,HMR,HNXIndex,Công ty cổ phần Đá Hoàng Mai,Đá Hoàng Mai
19,PCH,HNXIndex,Công ty Cổ phần Nhựa Picomat,Nhựa Picomat
20,DSD,UpcomIndex,Công ty cổ phần DHC Suối Đôi,DHC Suối Đôi
21,NO1,VNINDEX,Công ty Cổ phần Tâp đoàn 911,Tâp đoàn 911
22,MGR,UpcomIndex,Công ty cổ phần Tập đoàn MGROUP,Tập đoàn MGROUP
23,PPT,UpcomIndex,Công ty cổ phần Petro Times,Petro Times
24,CVP,UpcomIndex,Công ty cổ phần Cảng Cửa Việt,Cảng Cửa Việt
25,CAR,UpcomIndex,Công ty cổ phần Tập đoàn Giáo dục Trí Việt,Tập đoàn Giáo dục Trí Việt
26,GPC,UpcomIndex,Công ty Cổ phần Tập đoàn Green+,Tập đoàn Green+
27,FUCTVGF4,VNINDEX,Quỹ Đầu tư Tăng trưởng Thiên Việt 4,Quỹ Đầu tư Tăng trưởng Thiên Việt 4
