,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
0,UPCOM,Đầu tư Phát triển Máy Việt Nam,211.0,3353,Ô tô và phụ tùng,Automobiles & Parts,,352.0,105.0,0.0,https://vimid.vn,3.3,-0.09,-0.098,,20.5,20.5,CT,VVS,,,,
1,UPCOM,Xây dựng Công trình Tân Cảng,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,,110.0,0.0,0.0,https://saigonnewport.com.vn,3.7,-0.133,-0.082,,9.0,0.0,CT,XDC,,,,
2,UPCOM,Gang Thép Hà Nội,159.0,1757,Tài nguyên Cơ bản,Basic Resources,2013,0.0,109.0,0.003,https://gangthephanoi.com,3.7,0.013,0.064,-0.37,15.7,15.7,CT,HSV,,,,
3,UPCOM,Than Cao Sơn - TKV,160.0,1771,Tài nguyên Cơ bản,Basic Resources,2020,3473.0,5157.0,0.039,http://thancaoson.vn,4.0,-0.087,0.093,0.457,42.8,42.8,CT,CST,,,,
4,UPCOM,BV Land,339.0,8637,Bất động sản,Real Estate,2008,46.0,175.0,0.0,http://bvland.vn,,-0.204,-0.236,-0.433,57.3,57.3,CT,BVL,,,,
5,UPCOM,ĐT PT Sài Gòn 3 Group,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2018,0.0,490.0,0.0,https://www.saigon3group.com.vn,3.6,0.029,-0.079,-0.007,75.5,75.5,CT,SGI,,,,
6,UPCOM,Dịch vụ biển Tân Cảng,316.0,573,Dầu khí,Oil & Gas,2012,663.0,160.0,0.0,https://tancangoffshore.com,3.8,0.013,0.07,0.011,31.0,31.0,CT,TOS,,,,
7,HNX,Nhựa Việt Thành,150.0,1353,Hóa chất,Chemicals,2011,397.0,245.0,0.001,https://vithacoplastic.com,3.4,-0.088,-0.111,-0.05,23.0,23.0,CT,VTZ,,,,
8,UPCOM,Phát triển Sunshine Homes,336.0,8633,Bất động sản,Real Estate,2015,0.0,243.0,0.0,https://ssh.vn,2.9,-0.045,-0.066,-0.123,375.0,375.0,CT,SSH,,,,
9,UPCOM,Công ty B.C.H,159.0,1757,Tài nguyên Cơ bản,Basic Resources,2004,0.0,114.0,0.0,https://bch.com.vn,3.3,-0.051,0.0,-0.283,19.0,19.0,CT,BCA,,,,
10,HOSE,Quỹ Đầu tư Tăng trưởng Thiên Việt 3,302.0,8985,Dịch vụ tài chính,Financial Services,2019,0.0,0.0,0.0,https://www.tvam.vn/vi,5.0,0.013,0.064,0.702,19.9,19.9,QU,FUCTVGF3,,,,
11,HOSE,ETF IPAAM VN100,302.0,8985,Dịch vụ tài chính,Financial Services,2019,0.0,0.0,0.009,https://ipaam.com.vn/vi/home,5.0,-0.014,-0.029,-0.049,5.7,5.7,QU,FUEIP100,,,,
12,HOSE,Minh Hưng Quảng Trị,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2006,405.0,173.0,0.001,http://minhhungqt.vn,4.2,-0.007,0.015,-0.139,16.5,16.5,CT,GMH,,,,
13,UPCOM,BIG Invest Group,339.0,8637,Bất động sản,Real Estate,2017,0.0,140.0,0.001,https://biginvestgroup.vn,3.4,-0.043,-0.005,-0.391,5.0,5.0,CT,BIG,,,,
14,UPCOM,Camimex,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,2013,862.0,110.0,0.0,https://cmmseafood.com.vn,3.6,0.138,0.189,,57.0,57.0,CT,CMM,,,,
15,UPCOM,Tổng công ty Chè Nghệ An - CTCP,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,1992,515.0,0.0,0.0,http://ngheantea.com.vn,3.1,0.013,0.064,0.302,3.4,0.8,CT,CNA,,,,
16,HOSE,KIM GROWTH VN30 ETF,302.0,8985,Dịch vụ tài chính,Financial Services,2021,0.0,0.0,0.858,https://koreainvestment.com.vn/en/home,5.0,-0.02,-0.02,-0.028,52.0,52.0,QU,FUEKIV30,,,,
17,UPCOM,Tập đoàn Truyền thông và Giải trí ODE,254.0,5553,Truyền thông,Media,2016,0.0,126.0,0.0,https://ode.vn,3.3,-0.043,0.097,0.077,10.0,10.0,CT,ODE,,,,
18,HNX,Đá Hoàng Mai,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2011,65.0,143.0,0.0,https://rcchoangmai.vn,4.0,-0.019,0.427,-0.106,5.6,5.6,CT,HMR,,,,
19,HNX,Nhựa Picomat,150.0,1353,Hóa chất,Chemicals,2010,51.0,129.0,0.0,https://picomat.vn,4.1,-0.025,0.044,,20.0,20.0,CT,PCH,,,,
20,UPCOM,DHC Suối Đôi,260.0,5755,Du lịch và Giải trí,Travel & Leisure,2014,0.0,307.0,0.0,https://dhcsuoidoi.vn,3.0,0.159,0.582,,31.1,31.1,CT,DSD,,,,
21,HOSE,Tâp đoàn 911,189.0,2757,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2011,50.0,138.0,0.0,https://911group.com.vn,3.8,0.013,0.057,,24.0,24.0,CT,NO1,,,,
22,UPCOM,Tập đoàn MGROUP,336.0,8633,Bất động sản,Real Estate,2013,0.0,119.0,0.0,https://www.mgroup.vn,3.8,-0.136,0.307,,20.0,20.0,CT,MGR,,,,
23,UPCOM,Petro Times,275.0,7573,"Điện, nước & xăng dầu khí đốt",Utilities,2015,0.0,307.0,0.0,https://petrotimesgroup.com,3.2,-0.008,0.038,,15.0,15.0,CT,PPT,,,,
24,UPCOM,Cảng Cửa Việt,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2007,20.0,20.0,0.0,https://cuavietport.com,3.8,0.013,0.064,,3.4,3.4,CT,CVP,,,,
25,UPCOM,Tập đoàn Giáo dục Trí Việt,196.0,2793,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2013,0.0,103.0,0.0,https://trivietgroup.edu.vn,5.0,0.01,0.275,,3.2,3.2,CT,CAR,,,,
26,UPCOM,Tập đoàn Green+,238.0,4577,Y tế,Health Care,2016,42.0,184.0,0.0,https://greenplus.group,3.7,-0.142,-0.139,,41.6,41.6,CT,GPC,,,,
27,HOSE,Quỹ Đầu tư Tăng trưởng Thiên Việt 4,302.0,8985,Dịch vụ tài chính,Financial Services,2022,0.0,0.0,0.0,https://www.tvam.vn/vi,5.0,0.013,0.064,,20.1,20.1,QU,FUCTVGF4,,,,
28,HOSE,Quỹ ETF DCVFMVNMIDCAP,302.0,8985,Dịch vụ tài chính,Financial Services,2022,0.0,0.0,0.901,https://dragoncapital.com.vn,5.0,-0.028,-0.033,,9.4,9.4,QU,FUEDCMID,,,,
29,,,,,,,,,,,,,,,,,,,,400.0,887999,Bad Request,05736ee9334f0878
30,UPCOM,Thực phẩm G.C,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,,573.0,124.0,0.0,https://gcfood.com.vn,3.2,-0.099,-0.093,,30.7,30.7,CT,GCF,,,,
31,UPCOM,TM và SX Lập Phương Thành,196.0,2793,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2008,0.0,1033.0,0.0,http://lapphuongthanh.vn,3.9,-0.116,-0.074,0.006,12.0,12.0,CT,LPT,,,,
32,HOSE,An Phát Bioplastics,150.0,1353,Hóa chất,Chemicals,2002,2713.0,27697.0,0.024,https://anphatbioplastics.com,3.5,0.071,0.171,-0.183,382.3,382.3,CT,AAA,,,,
33,HOSE,Thủy sản Mekong,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2002,159.0,0.0,0.01,http://www.mekongfish.vn,3.9,-0.034,0.042,0.186,10.5,12.3,CT,AAM,,,,
34,HOSE,Tập đoàn Tiên Sơn Thanh Hóa,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,1995,1200.0,2431.0,0.002,http://tiensonaus.com,4.3,0.017,-0.029,-0.303,63.8,63.8,CT,AAT,,,,
35,HNX,Việt Tiên Sơn Địa ốc,336.0,8633,Bất động sản,Real Estate,2010,39.0,7892.0,0.0,http://www.viettienson.com,3.6,-0.08,-0.141,-0.532,69.0,69.0,CT,AAV,,,,
36,UPCOM,Ngân hàng An Bình,289.0,8355,Ngân hàng,Banks,1993,3614.0,5409.0,0.246,http://www.abbank.vn,3.7,-0.012,-0.028,-0.225,940.9,940.9,NH,ABB,,,,
37,UPCOM,BH NH Nông Nghiệp,292.0,8536,Bảo hiểm,Insurance,2006,748.0,0.0,0.096,http://www.abic.com.vn,3.8,-0.006,0.007,-0.051,50.4,51.6,BH,ABI,,,,
38,HOSE,Đầu tư Nhãn Hiệu Việt,195.0,2791,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2012,10.0,513.0,0.488,http://www.vbinvest.com.vn,4.1,-0.121,0.091,,20.0,20.0,CT,ABR,,,,
39,HOSE,DV Nông nghiệp Bình Thuận,253.0,5379,Bán lẻ,Retail,2004,54.0,7471.0,0.0,http://www.bitagco.com,3.5,-0.007,-0.056,-0.447,80.0,80.0,CT,ABS,,,,
40,HOSE,Thủy sản Bến Tre,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,1977,706.0,1032.0,0.017,http://www.aquatexbentre.com,4.0,-0.016,0.026,0.281,11.8,14.4,CT,ABT,,,,
41,HOSE,Ngân hàng Á Châu,289.0,8355,Ngân hàng,Banks,1993,11008.0,44011.0,0.3,http://www.acb.com.vn,4.2,0.025,0.029,0.229,3377.4,3377.4,NH,ACB,,,,
42,HOSE,Đầu tư và XD Bình Dương ACC,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2008,253.0,2386.0,0.082,http://www.becamexacc.com.vn,3.8,0.003,0.169,-0.022,105.0,105.0,CT,ACC,,,,
43,UPCOM,Bê tông An Giang,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,1982,373.0,230.0,0.024,http://www.aceco.com.vn,3.9,0.024,0.037,0.354,3.1,3.1,CT,ACE,,,,
44,HOSE,Thủy sản CL An Giang,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,1986,1074.0,0.0,0.029,http://www.clfish.com,4.0,0.025,0.076,-0.077,50.2,50.2,CT,ACL,,,,
