,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,SGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HTP,3534,38500,0,3755.5,-38.2,3.6,136.3,0.0,0.001,0.0,0.7,,,,0.8,0.8,0.949,,0.016,0.9,41.8,-0.021,0.454,0.862,0.744,277.583,0.15,33.1,42.0
2,VNB,498,7332,-1,12.4,0.6,0.5,-40.1,0.0,0.043,0.042,,,,,53.6,53.2,0.338,,1.245,0.0,0.0,0.079,0.016,0.062,0.008,-0.072,0.4,39.1,34.0
3,EID,350,23300,-1,4.7,0.1,0.9,1.5,0.0,0.211,0.142,,,,,2.8,1.8,0.143,,0.215,0.0,0.1,0.155,0.119,-0.062,-0.782,0.022,0.038,65.3,50.0
4,SED,161,17400,0,4.3,-0.1,0.6,3.2,0.0,0.138,0.077,9.8,,,,1.8,0.8,0.358,,0.066,0.2,1.4,0.016,0.12,-0.542,-0.742,-0.133,0.05,40.9,
5,STH,137,7006,-3,117.1,-10.0,0.7,91.2,0.0,0.006,0.004,5.1,,,,7.8,7.4,0.484,,0.023,0.2,18.9,0.137,0.11,-0.648,-0.064,,,60.4,
6,DST,132,4100,0,3.6,0.2,0.3,119.1,0.0,0.098,0.094,,,,,1.6,1.5,0.057,,0.15,0.0,0.5,,-0.047,-0.241,8.886,1.204,0.4,40.7,
7,STC,108,19000,1,6.5,-0.6,0.8,6.3,0.074,0.129,0.071,30.9,,,,2.0,1.0,0.255,,0.039,0.0,0.0,0.038,0.066,0.79,0.098,,,56.2,
8,PNC,107,9880,0,8.0,0.0,0.6,1.5,0.0,0.083,0.025,,,,,1.3,0.6,0.292,,,0.0,0.0,,0.035,,-0.049,-2.29,0.1,57.5,48.0
9,EBS,100,10000,0,7.0,0.3,0.7,11.0,0.085,0.107,0.082,0.5,,,,3.3,2.8,1.199,,1.316,0.1,0.5,0.049,-0.12,1.724,-0.857,,,55.4,
10,ALT,91,15900,0,12.1,0.2,0.4,3.9,0.0,0.035,0.026,7.3,,,,2.2,1.7,0.102,,0.027,0.2,1.3,-0.003,0.133,-0.185,0.155,,,61.6,
11,DAD,80,17100,-1,5.5,1.2,0.8,1.6,0.088,0.156,0.097,,,,,1.9,1.3,6.053,,,0.0,0.0,0.095,0.224,,-0.986,,,48.8,
12,ADC,65,16300,-1,4.6,0.1,0.9,3.0,0.092,0.202,0.091,,,,,1.4,0.9,0.579,,0.06,0.0,0.0,0.058,0.053,0.704,-0.219,,,44.9,
13,SMN,60,13600,0,5.1,2.6,0.8,4.2,0.0,0.156,0.094,,,,,2.4,1.7,0.32,,0.052,0.0,0.0,0.058,0.055,-0.05,-0.605,,,51.3,
14,QST,30,9200,0,3.3,0.1,0.7,5.3,0.0,0.211,0.109,12.8,,,,0.5,0.3,0.227,,0.115,0.5,1.8,0.244,0.152,,-0.053,,,12.1,
