,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,PMJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SAM,2242,5900,2,760.4,-7.8,0.6,-1514.4,0.0,0.001,0.0,-0.2,,,,1.4,1.1,0.088,,,0.3,-517.1,-0.514,-0.01,,-0.019,0.619,0.55,45.2,28.0
2,ELC,752,12800,2,24.0,-0.7,0.8,16.0,0.0,0.036,0.027,-14.2,,,,3.7,3.1,0.125,,0.006,0.0,0.6,-0.069,0.09,-0.872,-0.048,0.071,0.3,60.6,76.0
3,VTE,103,6600,0,70.0,-1.5,0.6,19.2,0.0,0.009,0.005,3.1,,,,2.2,1.2,0.127,,0.002,0.5,10.0,-0.22,-0.068,-0.084,0.094,,,90.1,
4,KST,90,15000,0,8.9,0.1,1.2,3.2,0.0,0.145,0.057,,,,,1.4,1.1,0.106,,0.013,0.0,0.0,0.047,-0.003,-0.873,-0.674,,,92.5,
5,VTC,63,13900,0,10.8,0.0,0.8,6.3,0.0,0.078,0.022,3.9,,,,1.4,0.9,0.16,,0.044,1.0,3.4,-0.076,-0.095,,4.973,,,82.9,
6,CKV,57,14100,0,26.6,4.4,0.7,25.3,0.0,0.026,0.013,-39.6,,,,1.4,1.4,0.059,,0.001,0.0,1.8,-0.126,0.256,-0.489,0.745,,,35.9,
7,SMT,46,8500,1,43.9,-0.8,0.6,-26.6,0.0,0.015,0.005,0.3,,,,1.4,0.8,0.101,,0.144,1.1,-15.2,-0.388,0.0,,0.237,,,56.1,
8,PMT,39,8000,0,65.8,-0.9,0.5,36.5,0.0,0.008,0.003,1.4,,,,1.5,0.8,0.116,,0.016,0.8,29.1,-0.177,-0.045,,-0.231,,,59.6,
9,VIE,18,3600,-1,9.1,0.0,1.2,8.5,0.0,0.145,0.097,,,,,3.0,1.9,0.235,,,0.0,0.3,,0.051,,-0.022,,,24.8,
10,VAT,3,2400,0,-12.4,0.0,0.2,16.8,0.0,-0.018,-0.008,-0.8,,,,1.6,1.4,0.335,,-0.926,0.8,16.6,-0.232,,,-0.972,,,8.0,
