,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,NAG,585,18500,2,28.0,1.6,1.6,22.6,0.0,0.071,0.016,0.9,,,,1.2,0.6,0.124,,0.012,2.2,12.5,0.059,0.305,,0.203,,,53.6,75.0
1,CAV,3076,53500,-2,8.0,0.6,1.7,5.5,0.037,0.212,0.068,6.7,,,,1.3,0.3,0.116,,0.043,1.0,2.4,0.033,0.107,2.472,0.062,-0.185,0.15,40.9,55.0
2,PAC,1436,30900,-1,9.1,-1.0,1.6,8.6,0.032,0.176,0.065,2.1,,,,1.2,0.6,0.132,,0.037,1.3,3.7,0.031,0.054,-0.336,-0.24,0.144,0.05,46.7,57.0
3,TYA,371,12100,0,11.6,-0.2,0.8,13.4,0.0,0.065,0.027,1.8,,,,1.7,1.1,0.083,,0.023,1.0,7.9,-0.149,0.06,,-0.111,0.142,0.088,40.8,68.0
4,PHN,287,39500,0,7.8,0.4,2.3,4.9,0.0,0.311,0.232,2930.2,,,,5.3,2.4,0.201,,0.092,0.0,0.2,0.121,0.065,0.357,-0.111,,,69.6,
5,TSB,231,34200,-3,66.5,-2.7,2.9,21.5,0.0,0.044,0.034,8.4,,,,3.3,0.7,0.163,,0.025,0.1,0.9,-0.029,-0.02,0.143,-0.02,,,45.2,
6,VTB,129,11900,0,7.1,0.0,0.7,5.2,0.042,0.097,0.073,84.6,,,,4.8,3.5,0.272,,0.132,0.0,0.2,0.002,-0.213,3.906,0.613,,,17.3,55.0
7,VTH,62,7900,0,22.7,-0.6,0.7,14.3,0.0,0.033,0.013,1.4,,,,1.3,0.7,0.089,,0.003,1.3,7.6,-0.104,-0.014,0.358,0.162,,,49.5,
8,VBH,45,12000,0,58.3,-0.3,2.3,123.3,0.0,0.04,0.036,,,,,185.3,182.7,0.221,,0.021,0.0,0.0,0.401,0.013,-0.07,0.226,,,75.1,
9,TIE,25,9600,2,-2.8,0.0,0.5,-3.0,0.0,-0.151,-0.128,0.2,,,,2.1,1.3,0.251,,-0.07,0.1,-0.2,,-0.161,,0.351,,,50.0,14.0
