,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,NXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,VGC,15692,35000,2,9.0,0.2,2.1,3.9,0.029,0.237,0.078,3.9,,,,1.0,0.5,0.218,,0.055,0.4,0.7,0.238,0.097,-0.186,0.022,,,47.6,47.0
2,VCS,8064,50400,2,7.0,-0.2,1.7,5.5,0.119,0.236,0.17,16.6,,,,3.4,1.8,0.298,,0.169,0.3,1.0,0.005,0.054,0.028,0.12,-0.339,-0.25,41.4,40.0
3,HT1,5571,14600,1,21.3,-0.7,1.1,6.4,0.0,0.051,0.029,3.9,,,,0.6,0.3,0.091,,0.025,0.4,1.7,-0.117,0.017,0.584,0.024,0.992,0.15,55.9,59.0
4,BMP,5010,61200,1,7.2,0.0,1.9,4.2,0.051,0.283,0.237,43571.5,,,,5.6,4.1,0.337,,0.176,0.0,0.0,0.084,0.087,0.418,-0.059,1.641,0.15,51.4,64.0
5,NTP,4120,31800,-2,8.6,2.8,1.5,6.8,0.047,0.173,0.096,,,,,1.4,0.7,0.226,,0.044,0.6,2.1,-0.005,0.051,-0.174,0.182,0.195,0.18,41.3,37.0
6,FIC,2908,22900,0,28.7,-824.0,1.7,24.3,0.0,0.061,0.036,-0.2,,,,1.2,0.6,0.169,,,0.4,5.0,-0.15,-0.207,,-0.022,0.534,0.03,58.0,72.0
7,DNP,2770,23300,-2,429.8,3.9,1.8,11.9,0.0,0.004,0.0,0.5,,,,1.2,1.0,0.121,,0.001,1.7,7.1,-0.401,0.392,-0.42,0.707,-0.237,0.07,42.6,57.0
8,ACC,1486,14150,-3,18.0,0.1,1.2,27.6,0.0,0.099,0.05,4.1,,,,2.7,1.3,0.219,,0.141,0.5,8.2,0.281,0.184,0.472,0.053,-0.068,-0.1,68.6,64.0
9,VLB,1451,31034,2,-28.7,0.2,2.8,5.3,0.0,-0.085,-0.064,,,,,1.9,1.8,0.326,,0.286,0.0,0.0,,0.053,,0.158,-8.819,0.25,55.2,43.0
10,BCC,1442,11700,1,20.8,-1.2,0.7,5.9,0.0,0.032,0.017,-1.7,,,,0.4,0.1,0.053,,,0.3,1.6,,0.04,,-0.064,0.432,0.05,54.7,55.0
11,VIT,925,18500,0,18.2,1.8,1.5,8.1,0.0,0.082,0.026,2.2,,,,0.8,0.2,0.095,,0.039,1.9,3.9,0.069,0.156,0.176,0.014,-0.334,0.05,47.4,59.0
12,BTS,754,6100,1,14.0,1.8,0.5,5.4,0.0,0.038,0.017,0.2,,,,0.5,0.2,0.088,,,0.7,3.2,0.758,-0.002,,-0.022,0.13,0.05,40.4,14.0
13,KPF,648,10650,-2,9.2,-1.4,0.8,-899.2,0.0,0.092,0.075,,,,,42.4,42.4,1.0,,1.788,0.0,0.0,0.343,-0.542,-0.864,,-0.488,0.1,45.1,39.0
14,MVC,600,6000,1,10.8,0.0,0.5,8.8,0.0,0.05,0.039,4.7,,,,2.0,1.6,0.17,,0.28,0.3,3.6,-0.156,-0.045,-0.126,0.119,-0.127,-0.12,51.0,64.0
15,MBG,577,4800,-1,5.7,0.3,0.4,4.4,0.0,0.094,0.085,32.6,,,,8.2,5.8,0.114,,0.087,0.0,0.4,1.204,0.226,0.075,-0.148,-0.307,0.202,51.1,56.0
16,XMC,493,7312,-1,7.4,0.8,0.6,15.8,0.0,0.076,0.016,0.8,,,,1.1,0.8,0.091,,0.078,2.2,11.8,-0.07,-0.035,7.126,0.466,-0.577,0.07,48.7,36.0
17,HOM,367,5100,1,17.4,0.0,0.4,5.0,0.0,0.022,0.014,2.8,,,,1.4,0.9,0.177,,0.011,0.1,1.3,0.675,0.078,0.697,0.104,0.336,0.08,52.2,58.0
18,QNC,359,5994,-1,4.1,-0.3,0.6,4.4,0.0,0.168,0.056,11.1,,,,0.5,0.3,0.198,,0.111,0.9,2.8,,0.093,5.805,0.466,,,51.0,59.0
19,TTB,314,3090,-6,76.4,-1.8,0.3,171.6,0.0,0.005,0.002,-1.8,,,,1.6,1.3,0.011,,,0.2,53.6,-0.407,0.315,,-0.768,0.297,0.3,27.2,18.0
