,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,BTV,287,11500,0,15.4,-0.1,1.5,12.6,0.0,0.101,0.054,6.6,,,,1.3,1.1,0.122,,0.019,0.1,1.4,-0.055,-0.006,-0.032,0.289,-1.707,-0.75,18.4,84.0
1,TSJ,2516,33633,1,82.5,13.0,3.1,159.6,0.0,0.038,0.037,,,,,19.8,19.8,0.208,,0.143,0.0,0.0,-0.205,-0.05,-0.462,-0.132,-0.039,-0.5,52.2,74.0
2,DSP,1199,10100,-3,-28.9,0.6,1.3,-15.0,0.0,-0.043,-0.039,-209.7,,,,4.8,4.8,,,,0.1,-0.5,,-0.082,,-0.435,-1.169,0.5,40.8,29.0
3,VNS,1181,17400,1,6.4,0.0,0.9,3.4,0.0,0.142,0.108,9.2,,,,4.1,4.0,0.266,,0.17,0.2,0.6,-0.006,-0.18,-0.076,-0.081,-0.277,0.01,44.8,56.0
4,SKG,912,14400,2,20.5,-0.1,1.1,10.0,0.0,0.054,0.053,,,,,32.7,30.4,0.077,,,0.0,0.0,-0.238,0.004,,-0.268,0.055,0.0,47.4,40.0
5,VTR,754,26300,0,6.2,0.0,6.0,23.0,0.0,1.756,0.062,-2.4,,,,1.0,1.0,0.025,,0.202,5.6,12.3,0.27,-0.092,31.908,-0.234,-2.472,-0.75,57.2,63.0
6,BSG,675,11247,-2,45.2,-0.4,2.3,7.5,0.0,0.052,0.027,,,,,0.8,0.8,0.214,,0.064,0.1,0.7,0.305,-0.03,-0.2,0.229,-0.862,0.01,43.1,52.0
7,TCT,399,31200,1,13.8,0.0,1.3,29.0,0.0,0.094,0.089,,,,,13.8,13.6,,,,0.0,0.0,-0.173,-0.164,,-0.541,-0.18,0.031,42.1,46.0
8,HRT,368,4600,1,85.4,-0.8,0.9,5.6,0.0,0.01,0.003,-3.7,,,,0.8,0.7,0.01,,,1.3,4.0,,0.005,,-0.15,15.119,0.07,48.7,90.0
9,VTG,334,17900,0,11.5,0.0,2.0,34.6,0.0,0.193,0.136,,,,,3.1,3.1,0.262,,,0.1,1.4,,-0.157,,-0.595,0.509,0.05,5.0,
10,SRT,226,4500,0,542.1,-5.4,2.0,27.7,0.0,0.004,0.0,-2.8,,,,0.4,0.3,0.104,,,4.2,23.1,-0.449,-0.034,,-0.343,-1.341,0.06,43.5,9.0
11,HGT,194,9700,0,-20.9,0.3,1.4,-46.4,0.0,-0.065,-0.045,-7.9,,,,1.2,1.2,,,,0.2,-7.0,,,,-0.28,,,0.1,
12,HOT,184,23000,0,-9.7,1.1,4.8,-12.3,0.0,-0.4,-0.268,-49.7,,,,0.3,0.2,,,,0.1,-0.2,,-0.263,,-0.187,-0.266,-0.19,58.0,75.0
13,PDC,59,3945,-1,7.7,0.0,0.4,3.4,0.0,0.058,0.028,,,,,0.7,0.7,0.521,,0.351,0.0,0.0,0.036,-0.121,0.417,-0.094,,,41.0,36.0
14,HHG,49,1400,1,-0.8,0.1,0.3,-7.8,0.0,-0.301,-0.21,-10.0,,,,0.1,0.1,,,,0.4,-4.3,,-0.213,,-0.323,0.18,0.35,42.9,
15,PGT,30,3200,-1,-9.9,0.0,1.2,-3.6,0.0,-0.099,-0.047,-12.6,,,,1.0,1.0,0.336,,,0.4,-1.1,,0.123,,0.206,,,46.6,
16,CTC,28,1800,1,-1.2,0.0,0.2,-12.3,0.0,-0.188,-0.078,0.0,,,,0.7,0.4,0.155,,,1.0,-9.6,,-0.213,,-0.207,,,40.9,
17,STT,14,4600,0,-3.5,0.3,36.2,-14.1,0.0,-1.125,-0.26,-1.3,,,,0.5,0.5,0.063,,-0.088,10.0,-0.9,,-0.207,,-0.001,,,13.7,
