,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,LMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,VEA,50339,37883.0,0,6.6,0.2,2.0,172.4,0.0,0.314,0.29,-8.1,,,,8.4,7.7,0.147,,1.982,0.0,2.3,0.085,-0.063,0.323,0.029,0.205,0.05,38.8,43.0
2,REE,24167,68000.0,2,9.0,0.2,1.6,7.8,0.015,0.187,0.082,4.4,,,,2.1,1.8,0.44,,0.234,0.6,2.4,0.143,0.134,0.056,0.375,0.163,0.1,39.7,42.0
3,MIE,2130,15000.0,0,-117.7,0.8,1.5,84.8,0.0,-0.013,-0.007,-1.0,,,,1.7,1.0,0.081,,0.003,0.3,15.4,,0.018,,0.216,-8.186,0.05,99.2,80.0
4,CKD,889,28683.0,1,8.8,-1.1,1.8,34.8,0.0,0.204,0.115,6.9,,,,1.6,1.1,0.106,,0.04,0.5,8.1,0.025,-0.028,2.328,0.433,-0.682,-0.15,51.7,88.0
5,GMA,888,44400.0,0,44.4,0.2,2.9,51.5,0.0,0.105,0.023,1.0,,,,1.0,0.6,0.065,,0.005,1.8,13.9,,,-0.093,2.649,,,59.8,60.0
6,LLM,711,8913.0,1,69.1,0.1,0.7,-5.4,0.0,0.01,0.002,0.9,,,,1.0,0.9,0.031,,,1.1,14.0,-0.471,-0.315,,1.245,0.334,-0.2,39.3,30.0
7,SRF,338,10000.0,2,-2.4,0.0,1.0,-4.7,0.0,-0.345,-0.079,-16.5,,,,1.1,0.9,,,,1.2,-3.8,,-0.039,,0.389,-0.007,-0.05,51.1,58.0
8,CTB,327,23900.0,0,6.6,0.1,1.3,7.2,0.0,0.202,0.062,8.1,,,,1.1,0.7,0.159,,0.058,0.7,1.6,0.239,0.217,2.131,1.984,-0.355,-0.395,77.6,78.0
9,L10,272,27750.0,0,16.3,1.2,1.1,0.7,0.0,0.066,0.014,1.9,,,,1.6,1.3,0.035,,0.017,0.6,3.3,-0.094,-0.052,0.488,0.31,0.019,0.0,76.0,84.0
10,NO1,214,8930.0,-1,5.6,0.0,0.7,3.4,0.0,0.149,0.05,5.4,,,,1.2,1.0,0.193,,0.01,0.3,0.9,,,-0.961,-0.883,,,47.6,
11,PMS,163,22700.0,0,5.9,-1.2,1.0,5.8,0.0,0.167,0.084,9.3,,,,1.3,0.8,0.057,,0.015,0.4,1.9,0.003,0.154,-0.039,0.14,,,49.1,
12,ITS,73,2765.0,0,7.9,-0.3,0.3,18.7,0.0,0.033,0.007,0.7,,,,1.0,1.0,0.032,,0.009,3.1,17.2,0.731,0.14,15.28,1.623,,,43.5,
13,L61,38,5000.0,0,-0.5,0.0,0.5,-32.2,0.0,-0.681,-0.098,-3.9,,,,1.0,0.2,,,,4.3,-26.4,,-0.112,,0.585,-0.933,-0.12,12.3,
14,VES,37,,0,,,,-12.8,0.0,-0.191,-0.08,0.1,,,,0.5,0.4,0.614,,-2.072,1.0,-11.8,,-0.631,,,,,28.7,
15,L62,31,3700.0,0,644.2,-6.3,0.3,16.1,0.0,0.0,0.0,53.0,,,,1.0,0.5,0.367,,0.163,2.4,15.2,-0.442,-0.232,,0.455,,,45.2,
