,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,VMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,VNT,1182,71000,0,-114.6,0.6,6.7,22.2,0.0,-0.055,-0.014,2.3,,,,1.0,1.0,0.065,,,1.7,5.4,,0.15,,-0.231,0.214,0.03,59.9,82.0
2,PVP,1160,11505,1,5.2,-0.5,0.7,5.0,0.0,0.132,0.083,4.1,,,,2.2,2.2,0.08,,0.55,0.3,2.4,0.252,0.092,-0.92,0.663,-0.056,0.15,58.6,74.0
3,TCL,1033,34250,1,8.1,0.6,1.9,6.1,0.0,0.236,0.152,116.2,,,,1.7,1.7,0.204,,0.099,0.0,0.2,0.047,0.099,0.107,-0.051,0.274,0.15,57.2,68.0
4,VTX,378,18000,0,47.3,-0.9,1.4,36.5,0.0,0.03,0.017,-2.9,,,,1.4,0.8,0.133,,0.103,0.5,7.9,-0.147,0.021,38.596,-0.239,-0.451,-0.05,10.5,69.0
5,VSA,306,21700,0,7.2,0.5,0.8,-0.1,0.0,0.115,0.058,,,,,1.6,1.6,0.053,,0.005,0.0,0.0,-0.009,0.137,-0.847,-0.157,-0.571,-0.03,46.1,66.0
6,VNF,285,9000,0,13.6,-0.2,0.5,1.2,0.0,0.036,0.019,-3.4,,,,2.1,2.1,0.046,,,0.0,2.2,-0.127,0.022,,-0.258,-0.141,0.03,44.1,53.0
7,PSP,252,6301,0,884.2,-9.1,0.6,11.0,0.0,0.001,0.001,1.0,,,,2.7,2.6,0.213,,,0.1,2.2,-0.565,-0.003,,0.351,-0.159,0.1,33.6,91.0
8,VNL,185,19600,0,4.2,-6.4,0.7,2.4,0.036,0.188,0.115,,,,,3.9,3.9,0.079,,0.02,0.0,0.0,0.12,0.071,-0.553,-0.174,,,45.5,50.0
9,TJC,164,19100,0,3.3,0.0,1.1,9.7,0.0,0.372,0.317,-14.5,,,,6.6,6.3,0.042,,1.079,0.0,0.2,2.408,-0.014,19.578,-0.286,,,49.5,
10,TCO,152,8130,1,4.0,-0.2,0.5,-507.5,0.0,0.128,0.108,-2.6,,,,44.2,44.1,0.014,,0.26,0.0,-37.4,0.168,0.54,,-0.714,0.041,0.03,51.5,24.0
11,MHC,152,3670,-3,-7.7,0.1,0.3,-58.5,0.0,-0.036,-0.015,0.1,,,,15.4,15.4,,,1.138,1.1,-55.3,,-0.063,0.559,0.035,-0.758,0.25,37.6,24.0
12,PCT,152,5500,1,10.7,2.1,0.5,6.3,0.0,0.046,0.033,2.4,,,,3.8,3.8,0.101,,0.034,0.7,5.6,0.651,-0.044,0.414,0.944,0.086,0.15,69.0,
13,HMH,150,11700,2,22.7,-0.4,0.8,11.6,0.0,0.031,0.027,,,,,4.2,4.2,0.055,,0.097,0.1,0.5,-0.212,-0.063,0.021,0.242,,,53.3,
14,PSC,91,12600,0,15.6,-0.6,0.8,2.8,0.0,0.049,0.023,4.5,,,,0.7,0.6,0.098,,0.016,0.4,1.1,-0.17,0.122,,0.035,,,44.6,80.0
15,TOT,81,14800,3,6.2,0.0,1.1,3.2,0.0,0.195,0.113,29.2,,,,1.1,1.1,0.315,,0.121,0.4,0.6,0.421,0.218,0.329,0.567,,,74.1,
16,PTS,58,10400,1,6.2,-0.3,0.6,3.1,0.0,0.093,0.035,2.0,,,,0.7,0.5,0.114,,0.014,1.0,2.3,0.125,0.123,-0.437,0.097,,,54.9,
17,VLG,49,3433,1,-2.1,0.0,0.4,-4.1,0.0,-0.149,-0.1,-97.0,,,,1.5,1.5,,,,0.1,-1.0,,-0.414,,-0.312,,,45.4,
