,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,YBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MSR,12162,11065,1,176.2,-2.7,0.8,9.3,0.0,0.005,0.002,0.5,,,,0.7,0.3,0.096,,,1.1,5.3,-0.196,0.235,,0.105,0.771,0.2,45.1,34.0
2,KSV,5600,28000,-1,-275.6,2.7,2.3,7.6,0.0,-0.008,-0.002,-1.5,,,,0.9,0.3,,,,1.4,3.3,,0.178,,0.096,-1.365,0.1,45.6,64.0
3,MVB,1943,18500,0,9.5,-0.3,1.2,3.7,0.0,0.125,0.058,10.2,,,,1.2,0.9,0.187,,0.065,0.3,1.1,0.167,0.058,,0.267,0.35,0.1,53.3,64.0
4,KSB,1850,24250,1,12.1,-0.3,1.0,13.1,0.0,0.082,0.037,0.7,,,,1.5,1.5,0.283,,0.079,0.6,4.1,-0.113,-0.047,-0.694,0.009,-0.08,0.05,55.4,65.0
5,VPG,962,12000,1,15.4,-0.2,0.7,7.4,0.004,0.053,0.015,-1.8,,,,1.2,0.8,,,,1.1,10.1,0.16,0.205,,0.11,-0.155,1.0,41.2,12.0
6,SQC,837,7800,-1,-32.3,0.0,1.2,-6018.2,0.0,-0.036,-0.034,,,,,0.1,0.1,0.267,,,0.0,-142.6,,-0.576,,0.031,-0.665,-0.7,39.0,46.0
7,HGM,590,49500,0,10.9,-0.5,3.2,4.8,0.051,0.287,0.244,,,,,7.0,5.1,0.583,,0.223,0.0,0.0,0.15,0.14,0.387,0.594,-0.302,-0.15,91.2,82.0
8,MTA,551,5000,0,-13.6,0.1,0.5,101.7,0.0,-0.036,-0.02,-4.6,,,,1.1,0.7,0.014,,,0.3,40.2,,0.034,,0.356,-0.711,0.25,55.5,36.0
9,DHM,352,11200,0,-11787.3,117.8,1.0,14.5,0.0,0.0,0.0,2.0,,,,1.6,1.2,0.004,,,0.4,3.8,-0.185,0.099,,0.345,,,50.0,10.0
10,TNT,203,3990,1,29.4,-0.4,0.4,-18.5,0.0,0.012,0.012,-49.3,,,,12.9,12.2,0.05,,,0.1,2.3,0.127,0.216,,-0.846,-0.725,0.02,56.2,65.0
11,BMC,165,13300,0,7.7,0.3,0.8,1.6,0.0,0.1,0.088,,,,,8.8,6.1,0.196,,0.119,0.0,0.0,0.171,-0.034,0.718,1.384,-0.063,0.03,49.7,37.0
12,LCM,58,2349,-1,-38.3,-0.1,0.3,-40.1,0.0,-0.007,-0.006,,,,,4.5,3.3,0.094,,,0.0,0.0,,-0.049,,-0.353,,,43.1,
13,KSQ,51,1700,0,-12.6,0.1,0.2,-248.8,0.0,-0.013,-0.011,,,,,5.7,5.7,0.008,,,0.1,-39.2,,0.582,,,,,39.4,
14,ACM,36,700,0,-3.4,0.2,0.1,-76.3,0.0,-0.029,-0.02,-0.2,,,,0.8,0.1,,,,0.2,-52.8,,,,,,,23.9,
15,KSH,35,600,0,-198.2,0.1,0.1,-283.1,0.0,0.0,0.0,,,,,31.6,31.6,,,,0.0,0.0,,,,,,,11.8,20.0
16,ATG,32,2100,0,-1.4,0.0,0.3,,0.0,-0.201,-0.182,,,,,5.1,5.1,,,,0.0,-0.1,0.507,,,,,,4.7,
17,SPI,32,1900,0,-4.3,0.0,0.2,-5.0,0.0,-0.049,-0.031,,,,,1.3,1.2,0.006,,,0.0,0.0,,-0.466,,-0.938,,,26.2,
