,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,GIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ACV,181412,83333,1,25.5,0.0,4.1,27.6,0.0,0.175,0.124,51.8,,,,7.6,7.5,0.47,,0.312,0.3,1.8,0.117,0.0,-0.465,-0.019,6.811,2.3,32.4,50.0
2,GMD,15220,50500,2,15.3,0.2,2.2,11.8,0.0,0.15,0.083,7.4,,,,0.8,0.8,0.426,,0.177,0.3,1.3,0.144,-0.003,-0.226,0.075,0.791,0.1,47.6,54.0
3,TMS,6452,53000,-3,9.2,0.9,1.7,14.5,0.0,0.199,0.123,125.0,,,,2.1,2.1,0.322,,0.236,0.2,2.3,0.292,0.113,0.429,0.179,0.13,0.05,47.1,36.0
4,PHP,5737,17547,3,10.1,3.2,1.2,8.2,0.0,0.127,0.089,60.0,,,,5.9,5.8,0.32,,0.181,0.1,0.7,0.106,0.026,-0.234,0.061,0.249,0.109,56.2,62.0
5,STG,4078,41500,2,16.8,3.3,2.0,11.3,0.0,0.127,0.088,10.7,,,,2.0,1.8,0.18,,0.078,0.1,0.6,-0.09,0.126,-0.337,-0.106,0.209,0.15,62.5,79.0
6,VSC,3577,29500,-6,11.3,-1.2,1.3,5.2,0.034,0.117,0.083,89.9,,,,3.0,2.9,0.293,,0.103,0.3,0.7,0.058,0.09,-0.336,0.025,0.016,0.05,42.6,36.0
7,PAP,3040,15200,0,-631.9,-4.6,1.5,-549.8,0.0,-0.003,-0.002,,,,,0.7,0.7,,,,0.0,-4.7,,,,,,,35.5,65.0
8,CDN,2703,27300,-2,10.0,0.7,1.7,6.7,0.0,0.177,0.141,40.3,,,,3.8,3.7,0.419,,0.223,0.2,0.5,0.156,0.147,0.126,0.08,0.149,0.1,45.7,49.0
9,SGP,2574,11902,-6,12.9,-0.2,1.0,11.1,0.0,0.081,0.037,4.2,,,,3.2,3.1,0.285,,0.043,0.1,1.4,-0.134,-0.009,-0.658,-0.102,-0.683,-0.12,35.5,16.0
10,HAH,2399,34100,1,2.9,0.0,1.0,2.2,0.0,0.425,0.199,11.5,,,,1.9,1.8,0.32,,0.203,0.4,0.7,0.41,0.327,-0.214,0.086,0.527,0.35,44.3,35.0
11,VGR,2309,36500,1,8.5,0.2,2.0,5.3,0.0,0.245,0.232,1007.9,,,,7.3,7.1,0.432,,0.307,0.0,0.0,0.232,0.087,0.063,0.08,0.401,0.099,53.8,72.0
12,SGN,2280,68000,-1,16.5,0.1,2.8,7.9,0.0,0.173,0.137,,,,,4.3,4.2,0.243,,0.099,0.0,0.0,-0.079,-0.021,-0.024,0.023,2.425,0.65,58.4,74.0
13,DVP,1960,49000,-1,6.9,3.1,1.4,7.7,0.02,0.206,0.189,,,,,10.8,10.7,0.421,,0.386,0.0,0.0,-0.003,-0.014,-0.424,-0.046,0.102,-0.01,58.8,70.0
14,ASG,1854,24500,0,20.9,0.5,1.6,11.6,0.0,0.08,0.034,1.0,,,,2.9,2.8,0.161,,,0.4,2.7,,,,-0.1,0.367,0.2,48.1,62.0
15,CLL,947,27850,1,9.9,0.8,1.5,4.8,0.0,0.15,0.137,,,,,7.2,7.2,0.361,,0.327,0.0,0.0,0.027,0.009,0.183,0.126,0.093,-0.04,55.0,78.0
16,PSN,400,10000,0,14.0,-0.6,0.8,6.5,0.0,0.054,0.034,,,,,1.7,1.4,0.055,,0.035,0.0,0.0,-0.027,0.074,3.175,0.459,-0.02,-0.1,41.6,66.0
17,DL1,382,3600,1,8.1,0.2,0.3,18.1,0.0,0.041,0.016,1.1,,,,1.0,1.0,0.391,,0.153,1.1,13.3,0.262,0.037,-0.137,0.064,-0.078,0.05,53.0,24.0
18,CPI,91,2500,0,14.8,0.1,-3.9,10.0,0.0,-0.249,0.128,,,,,0.9,0.8,0.171,,0.041,0.0,0.0,0.429,-0.055,-0.737,0.096,,,30.9,
