,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,TTP,568,42000.0,0,12.2,0.0,0.6,10.6,0.0,0.047,0.031,,,,,2.5,1.9,0.117,,0.033,0.0,0.0,-0.083,0.057,-0.107,-0.027,0.466,0.09,77.8,52.0
1,TDP,2205,32700.0,1,22.9,1.9,2.7,14.2,0.0,0.126,0.032,0.9,,,,1.0,0.6,0.077,,0.013,2.8,6.7,0.406,0.438,-0.535,0.142,-0.069,0.1,54.2,73.0
2,APH,1722,7060.0,1,-125.5,1.0,0.6,9.0,0.0,-0.005,-0.001,-1.7,,,,1.7,1.2,0.037,,,0.7,4.9,,,,0.051,0.263,0.2,44.4,18.0
3,ILS,774,21500.0,1,-41.2,0.1,2.7,-302.6,0.0,-0.062,-0.026,-5.2,,,,0.6,0.6,0.12,,,0.3,-37.0,,0.198,,-0.022,0.385,0.15,41.6,51.0
4,SVI,737,57400.0,-1,6.3,0.2,1.0,4.2,0.0,0.171,0.098,25.2,,,,1.9,1.5,0.176,,0.078,0.2,0.7,0.12,0.039,0.464,-0.082,0.124,0.05,37.9,52.0
5,INN,691,38500.0,-1,8.4,0.5,1.2,4.0,0.0,0.145,0.078,16.0,,,,1.5,1.1,0.142,,0.044,0.2,1.0,0.026,0.118,0.096,0.22,0.056,0.05,43.8,42.0
6,TPP,477,10600.0,0,31.8,0.5,1.0,8.3,0.0,0.036,0.009,1.1,,,,1.1,0.7,0.165,,0.005,2.0,6.5,0.413,0.309,-0.138,-0.169,-0.534,0.05,59.8,
7,MCP,307,20400.0,2,27.1,-0.5,1.3,11.9,0.0,0.05,0.035,9.8,,,,2.8,1.3,0.117,,0.035,0.1,1.6,-0.142,0.073,2.097,0.067,-0.69,-0.14,95.5,60.0
8,SDG,145,14300.0,1,4.2,0.0,0.5,8.5,0.0,0.113,0.037,1.9,,,,1.3,0.9,0.083,,0.012,0.6,4.0,0.139,0.464,-0.588,0.008,,,26.6,76.0
9,VBC,136,18200.0,-2,5.0,-1.7,0.9,7.8,0.0,0.186,0.061,3.7,,,,1.2,0.8,0.106,,0.025,1.1,3.3,0.003,0.054,-0.01,0.155,-0.175,0.05,25.3,
10,PBT,128,7300.0,0,9.3,-0.7,0.7,3.7,0.0,0.071,0.043,,,,,2.2,1.9,0.047,,0.023,0.1,0.5,0.02,0.062,0.368,0.052,-0.341,-0.45,34.0,
11,HPB,71,,0,,,,2.8,0.0,0.189,0.115,34.8,,,,2.0,1.3,0.121,,0.053,0.0,0.4,-0.031,-0.036,0.305,,,,54.5,
12,BBS,69,11500.0,0,8.8,-0.4,0.6,5.1,0.0,0.071,0.021,0.8,,,,1.0,0.7,0.099,,,1.5,3.5,0.146,0.048,,-0.11,,,83.9,
13,PBP,55,11500.0,-1,8.2,0.5,0.9,2.5,0.0,0.106,0.056,19.4,,,,1.4,0.9,0.054,,0.012,0.1,0.3,-0.011,0.137,16.869,1.601,,,38.0,
14,STP,54,6700.0,-1,11.9,-0.4,0.4,8.7,0.0,0.032,0.025,69.1,,,,3.4,2.5,0.12,,0.032,0.0,0.0,0.066,0.021,11.584,0.193,,,40.9,66.0
15,PMP,40,9500.0,1,5.6,0.9,0.6,5.4,0.0,0.107,0.029,2.2,,,,1.0,0.6,0.107,,0.015,1.9,4.0,-0.097,0.068,0.062,-0.043,,,22.1,
16,NHP,17,600.0,0,-1.1,0.0,0.1,,0.0,-0.065,-0.043,-0.1,,,,0.9,0.9,,,,0.4,-23.7,,,,,,,3.5,68.0
17,SPP,15,600.0,0,0.0,0.0,0.0,-1.1,0.0,8.891,-0.894,-12.3,,,,0.3,0.2,,,,-1.7,-1.1,,,,,-0.124,0.1,58.1,58.0
18,HDO,10,2100.0,0,-0.1,0.0,-0.2,-0.2,0.0,5.358,-3.573,-852.1,,,,0.1,0.1,-10.338,,-20.441,-0.6,-0.2,,,,-0.957,,,12.2,63.0
