,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,KHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,VHC,10471,57100,1,5.3,0.1,1.4,5.0,0.035,0.297,0.195,7.6,,,,2.1,1.3,0.191,,0.076,0.3,0.8,0.267,0.102,-0.578,-0.238,-0.133,0.09,30.3,20.0
2,HAG,7141,7700,2,6.1,0.0,1.4,6.0,0.0,0.247,0.062,2.8,,,,0.9,0.8,0.26,,0.18,1.6,3.1,0.762,0.01,-0.197,0.117,4.107,1.2,40.1,26.0
3,MPC,6915,17293,0,8.4,0.3,1.2,8.5,0.0,0.15,0.082,8.7,,,,1.7,0.6,0.225,,0.101,0.7,2.9,0.054,0.01,-0.216,-0.503,0.198,0.3,42.0,51.0
4,HNG,4833,4360,2,-1.2,0.0,1.6,-30.8,0.0,-0.858,-0.291,-5.7,,,,0.4,0.2,,,,2.4,-17.5,,-0.259,,-0.205,-12.397,-0.45,53.4,48.0
5,ANV,4055,31900,2,6.0,0.0,1.4,7.1,0.0,0.258,0.13,4.4,,,,1.3,0.4,0.206,,0.093,0.7,2.3,0.365,0.107,-0.112,-0.076,-0.029,0.02,52.6,65.0
6,DBC,3303,13650,1,22.0,-0.3,0.7,7.8,0.0,0.032,0.013,-0.2,,,,1.0,0.3,0.051,,,1.0,4.2,-0.056,0.159,,-0.179,-0.523,0.1,42.5,26.0
7,BAF,2978,20750,1,10.2,0.4,1.7,8.6,0.0,0.183,0.056,0.6,,,,1.1,0.8,0.029,,0.003,0.5,1.4,,,-0.958,0.124,0.234,-0.45,64.8,74.0
8,PRT,2927,9756,-2,12.4,0.5,0.8,10.2,0.0,0.066,0.041,0.7,,,,2.2,1.7,0.221,,,0.0,0.7,0.001,0.089,,0.384,-0.493,-0.07,40.0,21.0
9,SEA,2866,22933,2,13.6,4.1,1.4,118.2,0.0,0.085,0.067,-1.0,,,,1.7,1.4,0.143,,0.198,0.2,12.5,-0.001,-0.079,-0.069,0.19,-0.221,0.1,50.3,59.0
10,ASM,2854,8480,2,4.5,0.9,0.6,8.0,0.0,0.125,0.034,1.3,,,,1.3,0.8,0.105,,0.014,1.3,5.1,0.294,0.456,-0.713,-0.048,-0.062,0.1,45.7,37.0
11,IDI,2641,11600,1,4.9,0.0,0.8,7.1,0.0,0.176,0.069,1.1,,,,1.2,0.9,0.084,,0.012,1.2,4.7,0.1,0.083,-0.776,-0.13,3.647,0.4,46.1,49.0
12,VLC,2572,14923,0,22.1,3.6,0.8,9.0,0.0,0.051,0.029,6.0,,,,11.8,11.1,0.311,,0.029,0.0,0.1,0.071,0.03,-0.509,-0.054,0.34,0.05,45.8,48.0
13,FMC,2387,36500,3,7.7,0.5,1.2,6.3,0.0,0.167,0.109,15.6,,,,2.2,1.1,0.128,,0.065,0.2,1.0,0.223,0.103,0.017,-0.309,0.157,0.094,51.6,60.0
14,CQN,1358,18100,0,14.3,3.3,1.4,15.9,0.0,0.101,0.089,,,,,2.7,2.4,0.256,,0.143,0.0,0.0,0.059,-0.118,0.161,0.25,,,14.1,56.0
15,TAR,1034,13200,1,16.4,-0.5,0.9,12.3,0.0,0.07,0.026,1.8,,,,1.3,0.4,0.043,,0.01,1.2,6.6,0.346,0.214,18.734,2.158,-0.069,0.02,52.7,48.0
16,CMX,902,8850,2,12.5,1.1,0.8,11.6,0.0,0.064,0.027,1.2,,,,1.5,0.8,0.098,,0.009,0.8,5.2,0.22,0.264,-0.751,-0.117,0.283,0.4,48.8,59.0
17,DAT,632,10050,-1,7.9,0.1,0.8,7.3,0.0,0.111,0.048,1.5,,,,1.4,1.3,0.044,,0.029,1.1,4.9,0.26,0.158,0.058,-0.16,0.668,0.1,44.6,35.0
18,ACL,617,12300,1,5.2,0.0,0.7,4.9,0.0,0.153,0.081,1.3,,,,1.8,0.4,0.129,,0.016,0.6,2.8,0.406,-0.004,-0.766,-0.181,2.299,0.05,52.2,50.0
19,HLG,376,8500,0,24.7,-0.1,0.4,19.8,0.0,0.018,0.007,-0.1,,,,1.3,1.3,0.033,,,1.0,13.5,-0.345,0.022,,0.07,-0.354,0.03,63.2,68.0
20,HVG,318,4500,0,-1.4,0.0,1.9,-14.3,0.0,-0.62,-0.092,-2.3,,,,0.8,0.6,-0.057,,-0.348,4.6,-9.0,-0.504,,,0.061,-8.688,-0.25,20.4,50.0
