,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,04/01/23,2022,0.1,cash
1,25/08/22,2022,0.05,cash
2,21/04/22,2021,0.2,cash
3,19/01/22,2021,0.05,cash
4,18/08/21,2021,0.05,cash
5,15/04/21,2020,0.15,cash
6,26/02/21,2020,0.05,cash
7,04/09/20,2020,0.05,cash
8,16/04/20,2019,0.15,cash
9,20/02/20,2019,0.1,cash
10,30/08/19,2019,0.05,cash
11,09/05/19,2019,0.2,share
12,18/04/19,2018,0.05,cash
13,27/12/18,2018,0.05,cash
14,27/07/18,2018,0.05,cash
15,09/05/18,2018,0.2,share
16,19/04/18,2017,0.05,cash
17,19/12/17,2017,0.05,cash
18,28/07/17,2017,0.05,cash
19,03/05/17,2017,0.3,share
