,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,08/06/22,2021,0.2,cash
1,08/06/21,2020,0.2,cash
2,16/09/20,2019,2.58,cash
3,16/07/20,2019,2.58,cash
4,09/10/19,2018,2.0,cash
5,07/06/19,2018,2.0,cash
6,23/05/18,2017,0.2,cash
7,09/06/17,2016,0.2,cash
8,17/05/16,2015,0.3,cash
9,22/04/15,2014,0.2,cash
10,13/02/15,2014,0.2,cash
11,25/04/14,2013,0.2,cash
12,16/12/13,2013,0.2,cash
13,24/05/13,2012,0.2,cash
14,12/12/12,2012,0.2,cash
15,16/05/12,2011,0.2,cash
16,12/03/12,2011,0.1,cash
17,06/05/11,2010,0.2,cash
18,04/03/11,2010,0.1,cash
