,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,02/12/22,2022,0.3,cash
1,02/06/22,2022,0.3,cash
2,09/12/21,2021,0.2,cash
3,14/06/21,2021,0.2,cash
4,04/12/20,2020,0.2,cash
5,21/02/20,2019,0.2,cash
6,20/08/19,2019,0.2,cash
7,03/06/19,2019,0.2,cash
8,06/12/18,2018,0.1,cash
9,12/07/18,2018,0.1,cash
10,04/04/18,2018,1.0,share
11,12/02/18,2017,0.2,cash
12,03/07/17,2017,0.2,cash
13,03/07/17,2017,0.333,share
14,03/10/16,2016,0.132,share
15,03/10/16,2016,0.2,cash
16,11/05/16,2016,0.2,cash
17,09/12/15,2015,0.2,cash
18,05/06/15,2015,0.2,cash
19,29/12/14,2014,0.2,cash
