,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,19/12/19,2018,0.1,cash
1,24/09/18,2017,0.1,cash
2,28/09/17,2016,0.1,cash
3,14/07/16,2016,0.18,share
4,02/07/15,2015,0.15,share
5,16/05/14,2014,0.25,share
6,13/06/13,2012,0.06,cash
7,27/12/12,2012,0.18,share
8,14/06/12,2011,0.16,cash
9,11/11/11,2011,0.12,cash
10,23/05/11,2010,0.15,cash
11,06/01/11,2011,0.12,share
12,19/05/10,2009,0.12,cash
13,07/09/09,2009,0.1,cash
14,18/05/09,2008,0.07,cash
15,27/11/08,2008,0.1,cash
16,20/08/08,2008,0.08,cash
17,18/03/08,2007,0.12,cash
