,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,20/05/22,2021,0.25,cash
1,07/07/21,2020,0.18,cash
2,03/09/20,2019,0.1,cash
3,03/07/19,2018,0.05,cash
4,21/05/18,2017,0.1,cash
5,18/05/17,2016,0.05,cash
6,14/06/16,2015,0.15,cash
7,06/05/15,2014,0.15,cash
8,20/05/14,2013,0.15,cash
9,29/05/13,2012,0.15,cash
10,17/05/12,2011,0.2,cash
11,07/07/11,2010,0.15,cash
12,20/05/10,2009,0.08,cash
13,16/09/09,2009,0.06,cash
14,24/04/09,2008,0.02,cash
15,26/11/08,2008,0.12,cash
16,05/03/08,2007,0.07,cash
17,05/09/07,2007,0.05,cash
18,28/02/07,2006,0.06,cash
19,24/08/06,2006,0.07,cash
