,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,04/08/22,2021,0.1,cash
1,03/06/21,2020,0.1,cash
2,19/08/20,2019,0.1,cash
3,13/06/19,2018,0.1,cash
4,30/07/18,2017,0.1,cash
5,22/05/17,2016,0.13,cash
6,21/06/16,2015,0.03,cash
7,21/06/16,2016,0.1,share
8,21/05/15,2014,0.12,cash
9,20/05/14,2013,0.12,cash
10,28/05/13,2012,0.07,cash
11,09/11/12,2012,0.05,cash
12,12/06/12,2011,0.07,cash
13,19/12/11,2011,0.05,cash
14,25/05/11,2010,0.07,cash
15,14/03/11,2010,0.08,cash
16,27/04/10,2009,0.08,cash
17,28/08/09,2009,0.07,cash
18,10/03/09,2008,0.06,cash
19,02/10/08,2008,0.06,cash
