,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,17/03/22,2020,0.13,cash
1,01/12/20,2019,0.11,cash
2,01/12/20,2019,0.1,cash
3,09/12/19,2018,0.15,cash
4,09/12/19,2018,0.1,cash
5,07/12/18,2017,0.25,cash
6,07/12/18,2017,0.2,cash
7,27/10/17,2016,0.23,cash
8,12/12/16,2015,0.25,cash
9,24/08/15,2014,0.25,cash
10,27/11/14,2013,0.22,cash
11,23/10/13,2012,0.2,cash
12,18/03/13,2011,0.15,cash
13,17/10/11,2010,0.15,cash
14,24/05/10,2010,0.2,share
15,12/06/09,2007,0.18,share
16,03/06/09,2008,0.08,cash
17,09/06/08,2008,0.15,share
