,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,07/07/22,2021,0.15,cash
1,08/09/21,2020,0.15,cash
2,27/04/20,2019,0.1,cash
3,30/12/19,2019,0.1,cash
4,31/05/19,2018,0.1,cash
5,19/12/18,2018,0.15,cash
6,16/04/18,2017,0.1,cash
7,05/02/18,2017,0.1,cash
8,01/12/16,2016,0.12,cash
9,29/03/16,2015,0.03,cash
10,25/01/16,2015,0.12,cash
11,16/03/15,2014,0.17,cash
12,19/02/14,2013,0.2,cash
13,14/12/12,2012,0.17,cash
14,17/04/12,2011,0.2,cash
15,06/05/11,2010,0.05,cash
16,01/03/11,2010,0.1,cash
17,10/08/10,2010,0.1,cash
18,20/04/10,2009,0.05,cash
19,15/12/09,2009,0.07,cash
