,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,14/12/22,2022,0.1,cash
1,09/06/22,2021,0.35,cash
2,17/01/22,2021,0.15,cash
3,04/08/21,2020,0.25,cash
4,25/01/21,2020,0.15,cash
5,05/08/20,2019,0.25,cash
6,16/12/19,2019,0.15,cash
7,19/06/19,2018,0.15,cash
8,04/12/18,2018,0.25,cash
9,14/06/18,2017,0.2,cash
10,21/11/17,2017,0.2,cash
11,21/06/17,2016,0.25,cash
12,24/11/16,2016,0.25,cash
13,12/05/16,2015,0.5,cash
14,20/11/15,2015,0.2,cash
15,29/05/15,2014,0.15,cash
16,21/11/14,2014,0.15,cash
17,27/05/14,2013,0.2,cash
18,12/04/13,2012,0.1,cash
19,26/11/12,2012,0.2,cash
