,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,18/10/21,2020,0.1,cash
1,29/05/20,2019,0.12,cash
2,31/12/19,2019,0.1,cash
3,12/04/19,2018,0.15,cash
4,19/11/18,2018,0.15,cash
5,17/05/18,2017,0.15,cash
6,28/12/17,2017,0.2,cash
7,11/05/17,2016,0.12,cash
8,04/01/17,2016,0.2,cash
9,17/05/16,2015,0.13,cash
10,31/12/15,2015,0.15,cash
11,23/03/15,2014,0.15,cash
12,03/12/14,2014,0.1,cash
13,15/05/14,2013,0.14,cash
14,11/03/14,2013,0.15,cash
15,02/12/13,2013,0.1,cash
16,17/05/13,2012,0.03,cash
17,28/03/13,2012,0.12,cash
18,28/11/12,2012,0.1,cash
19,16/05/12,2011,0.1,cash
