,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/12/22,2022,0.1,cash
1,16/06/22,2021,0.1,cash
2,15/11/21,2021,0.1,cash
3,03/06/21,2020,0.1,cash
4,03/06/21,2021,0.1,share
5,18/11/20,2020,0.1,cash
6,11/05/20,2019,0.1,cash
7,11/05/20,2020,0.1,share
8,23/10/19,2019,0.1,cash
9,16/05/19,2018,0.1,cash
10,13/12/18,2018,0.1,cash
11,21/06/18,2017,0.1,cash
12,21/06/18,2018,0.1,share
13,09/11/17,2017,0.1,cash
14,31/12/16,2016,0.15,cash
15,31/12/15,2015,0.15,cash
16,31/12/14,2014,0.12,cash
17,31/12/12,2012,0.09,share
18,31/12/11,2011,0.14,share
19,31/12/09,2009,0.06,share
