,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,14/03/23,2022,0.15,cash
1,31/03/22,2021,0.15,cash
2,18/03/21,2020,0.15,cash
3,04/08/20,2019,0.07,cash
4,04/03/20,2019,0.2,cash
5,11/03/19,2018,0.29,cash
6,14/06/18,2017,0.025,cash
7,21/03/18,2017,0.25,cash
8,03/05/17,2016,0.11,cash
9,14/03/17,2016,0.14,cash
10,11/07/16,2015,0.02,cash
11,14/03/16,2015,0.12,cash
12,10/03/15,2014,0.12,cash
13,11/03/14,2013,0.12,cash
14,12/03/13,2012,0.14,cash
15,08/03/12,2011,0.14,cash
16,06/04/11,2010,0.14,cash
17,06/09/10,2009,0.01,cash
18,06/04/10,2009,0.13,cash
19,07/04/09,2008,0.13,cash
