,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,16/12/22,2022,0.1,cash
1,19/09/22,2021,0.09,cash
2,15/12/21,2021,0.1,cash
3,08/11/21,2020,0.09,cash
4,17/12/20,2020,0.1,cash
5,29/07/20,2019,0.03,cash
6,24/12/19,2019,0.15,cash
7,30/05/19,2018,0.08,cash
8,21/12/18,2018,0.15,cash
9,16/07/18,2017,0.23,cash
10,22/06/17,2016,0.15,cash
11,16/06/16,2015,0.075,cash
12,16/12/15,2015,0.075,cash
13,14/05/15,2014,0.25,cash
14,28/05/14,2013,0.15,cash
15,18/12/13,2013,0.15,cash
16,24/05/13,2012,0.2,cash
17,03/12/12,2012,0.15,cash
18,09/05/12,2011,0.2,cash
19,13/01/12,2011,0.15,cash
