,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,09/08/22,2022,0.1,share
1,20/10/21,2021,0.08,share
2,12/05/21,2020,0.07,cash
3,09/09/20,2020,0.12,share
4,12/12/19,2019,0.05,share
5,10/10/19,2018,0.07,cash
6,27/08/18,2017,0.07,cash
7,27/07/17,2016,0.07,cash
8,22/05/12,2011,0.05,cash
9,07/03/12,2012,0.1,share
10,18/05/11,2010,0.2,cash
11,19/05/10,2009,0.05,cash
12,19/05/10,2010,0.5,share
13,21/12/09,2009,0.15,cash
14,24/06/09,2009,0.5,share
15,13/05/09,2008,0.025,cash
16,04/12/08,2008,0.1,cash
