,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,01/03/23,2022,0.45,cash
1,21/12/22,2022,0.6,cash
2,29/09/22,2022,0.45,cash
3,23/06/22,2022,0.2,share
4,17/05/22,2021,0.05,cash
5,28/10/21,2021,0.2,cash
6,21/07/21,2021,0.25,share
7,17/05/21,2020,0.1,cash
8,22/12/20,2020,0.2,cash
9,25/06/20,2019,0.3,cash
10,19/12/19,2019,0.2,cash
11,19/07/19,2018,0.15,cash
12,13/12/18,2018,0.15,cash
13,25/05/18,2017,0.3,cash
14,19/04/17,2016,0.15,cash
15,13/07/16,2015,0.12,cash
16,23/09/15,2014,0.11,cash
