,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,10/10/22,2021,0.15,cash
1,19/10/21,2020,0.15,cash
2,09/12/20,2020,0.1,cash
3,27/07/20,2019,0.4,cash
4,21/10/19,2019,0.1,cash
5,19/07/19,2018,0.4,cash
6,19/10/18,2018,0.1,cash
7,27/07/18,2017,0.4,cash
8,23/10/17,2017,0.1,cash
9,08/06/17,2016,0.2,cash
10,11/10/16,2016,0.1,cash
11,09/06/16,2015,0.2,cash
12,14/09/15,2015,0.1,cash
13,22/06/15,2014,0.17,cash
14,17/09/14,2014,0.1,cash
15,16/05/14,2013,0.15,cash
16,28/08/13,2013,0.1,cash
17,16/05/13,2012,0.15,cash
18,11/10/12,2012,0.09,cash
19,20/06/12,2011,0.14,cash
