,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,30/07/20,2019,0.08,cash
1,09/06/17,2016,0.1,cash
2,23/03/17,2016,0.15,cash
3,24/05/16,2015,0.06,cash
4,07/03/16,2015,0.09,cash
5,11/06/15,2014,0.08,cash
6,23/03/15,2014,0.08,cash
7,23/06/14,2013,0.06,cash
8,24/02/14,2013,0.09,cash
9,25/01/13,2012,0.15,cash
10,18/04/12,2011,0.15,cash
11,13/04/11,2010,0.05,cash
12,25/11/10,2010,0.1,cash
13,11/05/10,2009,0.05,cash
14,16/03/10,2009,0.07,cash
15,29/09/09,2009,0.07,cash
16,28/04/09,2008,0.03,cash
17,25/02/09,2008,0.07,cash
18,24/09/08,2008,0.05,cash
19,13/03/08,2007,0.07,cash
