,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,27/12/22,2022,0.03,cash
1,26/09/22,2022,0.03,cash
2,26/05/22,2021,0.03,cash
3,07/01/22,2021,0.03,cash
4,08/11/21,2021,0.03,cash
5,13/09/21,2021,0.03,cash
6,01/06/21,2020,0.05,cash
7,14/05/21,2020,0.03,cash
8,21/01/21,2020,0.03,cash
9,20/11/20,2020,0.03,cash
10,14/07/20,2019,0.03,cash
11,14/07/20,2020,0.03,cash
12,17/03/20,2019,0.03,cash
13,19/11/19,2019,0.03,cash
14,15/08/19,2019,0.06,cash
15,04/06/19,2018,0.03,cash
16,08/04/19,2018,0.03,cash
17,18/12/18,2018,0.03,cash
18,02/08/18,2018,0.03,cash
19,11/05/18,2017,0.02,cash
