,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,05/01/23,2022,0.1,cash
1,23/05/22,2021,0.1,cash
2,29/09/21,2021,0.1,cash
3,30/06/21,2021,0.2,share
4,23/12/20,2020,0.2,cash
5,28/08/20,2020,0.1,cash
6,29/06/20,2019,0.1,cash
7,29/06/20,2020,0.1,share
8,03/01/20,2019,0.1,cash
9,13/06/19,2018,0.1,cash
10,30/05/19,2019,0.1,share
11,02/10/18,2018,0.1,cash
12,19/04/18,2018,0.5,share
13,28/12/17,2017,0.2,cash
14,22/09/17,2017,0.1,cash
15,02/06/17,2017,0.1,share
16,12/05/17,2016,0.1,cash
17,28/12/16,2016,0.1,cash
18,17/11/16,2016,0.1,share
19,03/07/16,2015,0.2,cash
