,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,15/06/22,2022,0.1,share
1,09/12/21,2020,0.04,cash
2,19/03/21,2020,0.04,cash
3,04/12/20,2019,0.04,cash
4,19/03/20,2019,0.04,cash
5,13/08/19,2018,0.05,cash
6,13/03/19,2018,0.07,cash
7,03/01/19,2017,0.07,cash
8,16/03/18,2017,0.07,cash
9,15/01/18,2016,0.06,cash
10,14/03/17,2016,0.06,cash
11,20/07/16,2015,0.08,cash
12,25/02/16,2015,0.08,cash
13,06/10/15,2014,0.08,cash
14,20/03/15,2014,0.08,cash
15,18/09/14,2013,0.08,cash
16,19/03/14,2013,0.08,cash
17,26/12/13,2012,0.12,cash
18,19/03/13,2012,0.08,cash
19,15/01/13,2013,0.12,share
