,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,27/12/21,2021,0.16,cash
1,23/03/21,2020,0.03,cash
2,03/09/20,2020,0.12,cash
3,12/03/20,2019,0.14,cash
4,18/02/19,2018,0.14,cash
5,09/03/18,2017,0.14,cash
6,07/03/17,2016,0.13,cash
7,07/03/16,2015,0.14,cash
8,25/12/14,2014,0.14,cash
9,19/03/14,2013,0.07,cash
10,18/10/13,2013,0.07,cash
11,03/04/13,2012,0.06,cash
12,22/10/12,2012,0.07,cash
13,04/07/12,2011,0.01,cash
14,30/03/12,2011,0.06,cash
15,26/12/11,2011,0.06,cash
16,25/03/11,2010,0.04,cash
17,06/01/11,2010,0.08,cash
18,24/02/10,2009,0.12,cash
