,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,21/02/23,2022,0.15,cash
1,26/09/22,2022,0.1,cash
2,25/07/22,2022,0.25,share
3,21/02/22,2021,0.15,cash
4,07/09/21,2021,0.1,cash
5,05/01/21,2020,0.1,cash
6,21/09/20,2020,0.1,cash
7,05/08/20,2020,0.25,share
8,17/02/20,2019,0.1,cash
9,13/09/19,2019,0.1,cash
10,05/03/19,2018,0.1,cash
11,24/12/18,2018,0.1,cash
12,29/10/18,2018,0.19,share
13,01/03/18,2017,0.1,cash
14,13/11/17,2017,0.1,cash
15,29/05/17,2017,0.149,share
16,03/03/17,2016,0.1,cash
17,25/11/16,2016,0.1,cash
18,07/03/16,2015,0.1,cash
19,28/12/15,2015,0.1,cash
