,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,15/09/22,2021,0.06,cash
1,07/10/21,2020,0.1,cash
2,23/06/20,2019,0.08,cash
3,07/12/18,2018,0.03,cash
4,19/06/18,2017,0.02,cash
5,01/11/17,2017,0.06,cash
6,08/06/17,2016,0.06,cash
7,16/12/16,2016,0.1,cash
8,27/06/16,2015,0.07,cash
9,08/12/15,2015,0.15,cash
10,08/06/15,2014,0.15,cash
11,08/06/15,2015,0.1,share
12,03/06/14,2013,0.2,cash
13,27/05/13,2013,0.125,share
14,23/05/13,2012,0.125,cash
15,18/07/12,2011,0.05,cash
16,23/05/11,2010,0.15,cash
17,07/05/10,2010,0.311,share
18,08/02/10,2009,0.12,cash
