,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,07/06/22,2021,0.18,cash
1,19/11/21,2020,0.2,cash
2,09/07/20,2019,0.2,cash
3,27/03/18,2017,0.5,cash
4,10/11/17,2017,0.15,cash
5,10/08/17,2017,0.1,cash
6,27/02/17,2016,0.1,cash
7,10/08/16,2016,0.1,cash
8,16/02/16,2015,0.1,cash
9,14/07/15,2015,0.1,cash
10,03/03/15,2014,0.1,cash
11,13/08/14,2014,0.1,cash
12,12/02/14,2013,0.1,cash
13,11/07/13,2013,0.1,cash
14,13/11/12,2012,0.1,cash
15,27/07/12,2012,0.1,cash
16,19/01/12,2011,0.05,cash
17,31/10/11,2011,0.1,cash
18,19/01/11,2010,0.15,cash
19,26/07/10,2010,0.1,cash
