,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,17/06/22,2021,0.04,cash
1,10/09/21,2020,0.06,cash
2,23/06/20,2019,0.03,cash
3,29/05/19,2018,0.06,cash
4,22/05/17,2016,0.02,cash
5,20/10/16,2016,0.08,share
6,09/06/16,2015,0.05,cash
7,26/05/15,2014,0.05,cash
8,10/06/14,2013,0.05,cash
9,04/12/08,2008,0.15,share
10,17/09/07,2007,0.08,share
11,27/12/06,2006,0.06,cash
12,29/08/06,2006,0.06,cash
13,16/03/06,2005,0.06,cash
14,16/11/05,2005,0.06,cash
15,27/07/05,2005,0.08,cash
16,09/03/05,2004,0.1,cash
17,29/12/03,2003,0.18,cash
18,29/07/03,2003,0.12,cash
19,27/12/02,2002,0.18,cash
