,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,08/12/22,2022,0.065,share
1,29/05/19,2018,0.07,cash
2,07/05/18,2017,0.02,cash
3,05/09/17,2017,0.08,cash
4,29/12/16,2016,0.04,cash
5,25/08/16,2016,0.06,cash
6,13/11/15,2014,0.015,cash
7,29/07/14,2013,0.055,cash
8,29/07/14,2014,0.045,cash
9,21/02/14,2012,0.045,cash
10,26/11/12,2011,0.1,cash
11,28/02/12,2011,0.15,cash
12,06/07/11,2010,0.15,cash
13,26/01/11,2010,0.2,cash
14,02/06/10,2009,0.1,cash
15,11/03/10,2009,0.07,cash
16,26/08/09,2009,0.08,cash
17,03/12/08,2008,0.15,cash
18,28/05/08,2007,0.2,cash
