,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,09/06/22,2022,0.05,share
1,09/07/21,2021,0.05,share
2,26/08/20,2020,0.05,share
3,26/08/20,2019,0.02,cash
4,13/05/19,2019,0.1,share
5,09/07/18,2017,0.06,cash
6,29/11/17,2017,0.05,share
7,07/10/16,2015,0.08,cash
8,07/10/15,2014,0.05,cash
9,15/09/14,2014,0.05,share
10,06/08/14,2013,0.05,cash
11,16/10/13,2012,0.1,cash
12,13/03/12,2011,0.13,cash
13,23/05/11,2010,0.05,cash
14,08/03/11,2010,0.1,cash
15,16/04/10,2010,0.2,share
16,08/07/09,2008,0.2,cash
17,19/02/09,2009,0.07,share
18,18/12/08,2008,0.1,cash
