,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,30/11/22,2022,0.15,cash
1,18/05/22,2021,0.1,cash
2,04/11/21,2021,0.15,cash
3,07/05/21,2020,0.1,cash
4,03/11/20,2020,0.15,cash
5,04/06/20,2019,0.1,cash
6,03/01/20,2019,0.1,cash
7,29/07/19,2018,0.1,cash
8,29/05/18,2017,0.15,cash
9,07/11/17,2017,0.15,cash
10,01/06/17,2016,0.1,cash
11,05/12/16,2016,0.15,cash
12,23/05/16,2015,0.1,cash
13,05/01/16,2015,0.15,cash
14,26/05/15,2014,0.05,cash
15,02/02/15,2014,0.1,cash
16,28/05/14,2013,0.15,cash
17,05/12/13,2013,0.15,cash
18,07/06/13,2012,0.2,cash
19,14/12/12,2012,0.1,cash
