,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,28/06/22,2022,0.2,share
1,19/05/22,2021,0.05,cash
2,12/11/21,2021,0.05,cash
3,03/06/21,2020,0.05,cash
4,20/10/20,2020,0.05,cash
5,14/07/20,2019,0.05,cash
6,09/10/19,2019,0.05,cash
7,12/07/19,2018,0.05,cash
8,12/07/19,2019,0.1,share
9,12/10/18,2018,0.06,cash
10,06/07/18,2017,0.05,cash
11,06/07/18,2018,0.3,share
12,28/08/17,2017,0.05,cash
13,19/04/17,2016,0.05,cash
14,27/12/16,2016,0.05,cash
15,14/09/16,2016,0.05,cash
16,03/11/14,2014,0.05,cash
17,07/03/14,2013,0.03,cash
18,10/07/13,2013,0.05,cash
19,31/01/13,2012,0.07,cash
