,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,09/09/22,2022,0.15,share
1,12/08/22,2021,0.1,cash
2,18/08/21,2021,0.2,share
3,16/06/21,2020,0.1,cash
4,18/08/20,2019,0.15,cash
5,18/06/19,2019,0.21,share
6,18/09/18,2018,0.37,share
7,05/06/18,2017,0.1,cash
8,15/06/17,2016,0.25,cash
9,17/06/16,2015,0.25,cash
10,11/06/15,2014,0.5,cash
11,04/03/15,2013,0.2,cash
12,04/03/15,2014,0.3,cash
13,01/07/14,2013,0.1,cash
14,26/11/13,2013,0.1,cash
15,28/05/13,2012,0.1,cash
16,04/04/12,2011,0.2,cash
17,08/12/11,2011,0.16,cash
18,20/10/11,2011,0.12,cash
19,17/08/11,2011,0.12,cash
