,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,07/09/22,2022,0.07,cash
1,13/05/22,2021,0.12,cash
2,30/03/22,2021,0.08,cash
3,17/12/21,2020,0.1,cash
4,17/12/21,2021,0.07,cash
5,28/04/21,2020,0.08,cash
6,12/08/20,2020,0.07,cash
7,08/06/20,2019,0.05,cash
8,30/12/19,2019,0.1,cash
9,11/01/19,2018,0.06,cash
10,07/01/16,2015,0.09,cash
11,21/01/15,2014,0.06,cash
12,07/04/14,2013,0.06,cash
13,08/01/13,2012,0.09,cash
14,28/12/11,2011,0.12,cash
15,04/01/11,2010,0.12,cash
16,10/12/09,2009,0.12,cash
17,01/12/08,2008,0.12,cash
18,07/01/08,2008,0.2,share
19,18/01/07,2006,0.06,cash
