,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,26/12/22,2022,0.2,cash
1,29/12/21,2021,0.2,cash
2,05/01/21,2020,0.2,cash
3,30/12/19,2019,0.15,cash
4,27/12/18,2018,0.15,cash
5,28/12/17,2017,0.25,cash
6,27/12/16,2016,0.3,cash
7,23/06/16,2016,0.3,share
8,29/12/15,2015,0.25,cash
9,29/12/14,2014,0.2,cash
10,28/03/14,2013,0.17,cash
11,07/01/13,2012,0.09,cash
12,15/03/12,2011,0.08,cash
13,23/05/11,2010,0.1,cash
14,11/08/10,2010,0.369,share
15,02/07/09,2009,0.067,share
16,20/11/08,2008,0.56,share
