,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,30/05/22,2021,0.15,cash
1,03/06/21,2020,0.2,cash
2,14/05/20,2019,0.15,cash
3,10/06/19,2018,0.12,cash
4,28/12/17,2017,0.1,cash
5,31/05/17,2016,0.1,cash
6,31/05/16,2015,0.1,cash
7,27/05/15,2014,0.1,cash
8,28/05/14,2013,0.1,cash
9,28/05/13,2012,0.12,cash
10,23/05/12,2011,0.12,cash
11,23/05/11,2010,0.15,cash
12,26/05/10,2009,0.12,cash
13,18/05/09,2008,0.12,cash
14,06/05/08,2007,0.07,cash
15,15/06/07,2006,0.05,cash
16,29/01/07,2006,0.07,cash
