,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,07/11/22,2021,0.015,cash
1,29/06/21,2020,0.03,cash
2,14/07/20,2019,0.06,cash
3,07/06/19,2018,0.06,cash
4,14/06/18,2017,0.05,cash
5,06/12/17,2017,0.05,cash
6,07/04/11,2010,0.05,cash
7,07/04/10,2009,0.04,cash
8,15/07/09,2009,0.06,cash
9,18/03/09,2008,0.15,cash
10,19/03/08,2007,0.07,cash
11,14/09/07,2007,0.08,cash
12,02/03/07,2006,0.07,cash
13,25/07/06,2006,0.08,cash
14,15/02/06,2005,0.15,cash
15,07/03/05,2004,0.03,cash
16,23/12/04,2004,0.12,cash
17,25/02/04,2003,0.15,cash
18,08/01/03,2002,0.14,cash
