,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,05/12/22,2022,0.1,cash
1,20/07/22,2021,0.15,cash
2,02/12/21,2021,0.15,cash
3,02/06/21,2020,0.15,cash
4,02/12/20,2020,0.15,cash
5,27/07/20,2019,0.15,cash
6,14/11/19,2019,0.15,cash
7,13/06/19,2018,0.15,cash
8,28/11/18,2018,0.15,cash
9,11/05/18,2017,0.15,cash
10,14/11/17,2017,0.15,cash
11,11/05/17,2016,0.15,cash
12,01/12/16,2016,0.15,cash
13,13/05/16,2015,0.15,cash
14,17/11/15,2015,0.15,cash
15,30/07/15,2014,0.12,cash
16,13/11/14,2014,0.12,cash
17,11/07/14,2013,0.12,cash
18,08/11/13,2013,0.12,cash
19,16/05/13,2012,0.1,cash
