,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/09/22,2021,0.05,cash
1,28/05/21,2020,0.1,cash
2,17/07/20,2019,0.06,cash
3,29/05/19,2018,0.09,cash
4,24/05/18,2017,0.15,cash
5,12/05/17,2016,0.1,cash
6,02/06/16,2015,0.06,cash
7,27/05/15,2014,0.02,cash
8,27/08/14,2013,0.06,cash
9,26/08/13,2012,0.11,cash
10,06/08/12,2011,0.14,cash
11,18/05/11,2010,0.15,cash
12,17/06/10,2009,0.12,cash
13,20/04/09,2008,0.1,cash
14,19/01/07,2006,0.1,cash
15,14/02/06,2005,0.12,cash
16,20/02/04,2003,0.03,cash
17,06/02/03,2002,0.1,cash
