,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,08/04/22,2019,0.04,cash
1,14/04/20,2018,0.02,cash
2,14/04/20,2018,0.02,cash
3,14/04/20,2018,0.02,cash
4,23/01/19,2017,0.03,cash
5,23/01/19,2017,0.03,cash
6,17/01/18,2016,0.06,cash
7,17/01/18,2016,0.06,cash
8,09/11/16,2015,0.1,cash
9,30/09/15,2014,0.15,cash
10,27/12/13,2013,0.15,cash
11,06/09/13,2012,0.1,cash
12,06/09/13,2012,0.08,cash
13,07/12/12,2011,0.1,cash
14,07/12/12,2011,0.08,cash
15,10/08/11,2010,0.2,cash
16,10/05/10,2009,0.2,cash
17,04/05/09,2008,0.18,cash
18,07/05/08,2007,0.2,cash
19,13/03/07,2006,0.18,cash
