,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,29/11/22,2022,0.2,cash
1,13/05/22,2021,1.0,cash
2,19/05/21,2021,0.2,cash
3,19/11/20,2020,0.2,cash
4,09/04/20,2019,1.0,cash
5,12/07/19,2019,0.2,cash
6,20/11/18,2018,0.2,cash
7,02/04/18,2017,1.0,cash
8,30/11/17,2017,0.1,cash
9,24/05/17,2017,0.1,cash
10,24/11/16,2016,0.1,cash
11,24/05/16,2016,0.1,cash
12,24/11/15,2015,0.1,cash
13,26/05/15,2015,0.1,cash
14,26/11/14,2014,0.1,cash
15,06/06/14,2014,0.1,cash
16,24/12/13,2013,0.05,cash
17,25/09/13,2013,0.1,cash
18,22/05/13,2013,0.1,cash
19,11/10/12,2012,0.1,cash
