,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,21/06/22,2021,0.1,cash
1,04/01/22,2021,0.15,cash
2,14/06/21,2020,0.1,cash
3,13/01/21,2020,0.15,cash
4,11/06/20,2019,0.1,cash
5,30/03/20,2019,0.05,cash
6,27/12/19,2019,0.1,cash
7,21/05/19,2018,0.15,cash
8,23/01/19,2017,0.1,cash
9,09/01/18,2016,0.1,cash
10,10/12/15,2015,0.1,cash
11,03/12/14,2012,0.05,cash
12,03/12/14,2013,0.05,cash
13,16/12/13,2012,0.1,cash
14,11/11/11,2011,0.25,cash
15,30/05/11,2011,1.0,share
16,21/12/10,2010,0.3,cash
17,14/05/10,2010,1.0,share
18,02/12/09,2009,0.3,cash
19,13/04/09,2008,0.25,cash
