,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,21/11/22,2022,0.15,cash
1,03/06/22,2021,0.2,cash
2,16/03/22,2021,0.1,cash
3,11/10/21,2020,0.03,cash
4,03/06/21,2020,0.15,cash
5,14/07/20,2019,0.22,cash
6,08/05/19,2018,0.25,cash
7,08/05/18,2017,0.1,cash
8,10/01/18,2017,0.12,cash
9,26/06/17,2016,0.06,cash
10,26/12/16,2016,0.12,cash
11,26/04/16,2015,0.04,cash
12,18/01/16,2015,0.12,cash
13,06/05/15,2014,0.15,cash
14,25/04/14,2013,0.15,cash
15,31/08/13,2013,0.05,share
16,30/06/12,2012,0.05,share
