,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,06/09/21,2021,0.1,share
1,15/05/20,2019,0.08,cash
2,19/12/19,2019,0.07,cash
3,21/05/19,2018,0.08,cash
4,22/02/19,2018,0.07,cash
5,27/04/18,2017,0.08,cash
6,25/09/17,2017,0.07,cash
7,04/05/17,2016,0.12,cash
8,14/10/16,2016,0.08,cash
9,14/04/16,2015,0.15,cash
10,13/10/15,2015,0.05,cash
11,06/05/15,2014,0.07,cash
12,24/09/14,2014,0.05,cash
13,19/03/14,2013,0.125,cash
14,05/09/13,2013,0.1,cash
15,15/04/13,2012,0.1,cash
16,06/12/12,2012,0.15,cash
17,02/10/12,2012,0.1,cash
18,29/05/12,2011,0.2,cash
19,05/01/12,2011,0.1,cash
