,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,19/08/22,2021,0.25,cash
1,01/09/21,2020,0.2,cash
2,04/08/20,2019,0.25,cash
3,02/08/19,2018,0.25,cash
4,31/07/18,2017,0.3,cash
5,25/04/17,2016,0.18,cash
6,08/09/16,2015,0.1,cash
7,26/10/15,2015,0.1,cash
8,03/06/15,2014,0.1,cash
9,03/11/14,2014,0.15,cash
10,12/06/14,2013,0.1,cash
11,07/11/13,2013,0.1,cash
12,13/08/13,2013,0.1,cash
13,24/05/13,2012,0.2,cash
14,20/11/12,2012,0.1,cash
15,06/08/12,2011,0.15,cash
16,19/08/11,2011,0.15,cash
17,24/03/11,2010,0.15,cash
18,01/09/10,2010,0.15,cash
19,13/04/10,2009,0.15,cash
