,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,28/06/22,2021,0.13,cash
1,28/06/21,2020,0.15,cash
2,29/06/20,2019,0.2,cash
3,27/06/19,2018,0.12,cash
4,01/06/18,2017,0.02,cash
5,28/12/17,2017,0.1,cash
6,31/05/17,2016,0.12,cash
7,23/06/16,2015,0.1,cash
8,04/03/16,2015,0.05,cash
9,16/06/15,2014,0.15,cash
10,30/06/14,2013,0.1,cash
11,29/11/13,2013,0.1,cash
12,02/04/13,2012,0.08,cash
13,16/11/12,2012,0.1,cash
14,30/03/12,2011,0.05,cash
15,05/12/11,2011,0.1,cash
16,28/06/11,2010,0.02,cash
17,05/04/11,2010,0.08,cash
18,08/09/10,2010,0.1,cash
19,24/03/10,2009,0.08,cash
