,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,07/12/22,2022,0.12,cash
1,01/06/22,2021,0.15,cash
2,01/06/21,2020,0.05,cash
3,16/12/20,2020,0.1,cash
4,15/07/20,2019,0.15,cash
5,13/06/19,2018,0.16,cash
6,14/06/18,2017,0.2,cash
7,15/06/17,2016,0.2,cash
8,11/12/15,2015,0.3,cash
9,06/07/15,2014,0.03,cash
10,26/12/14,2014,0.27,cash
11,11/06/14,2013,0.15,cash
12,12/06/13,2012,0.07,cash
13,10/10/12,2012,0.08,cash
14,07/06/12,2011,0.05,cash
15,11/11/11,2011,0.15,share
16,28/06/11,2011,0.25,share
17,22/09/10,2009,0.05,share
18,05/01/10,2010,0.1,share
19,03/08/09,2008,0.025,cash
