,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,14/09/22,2021,0.3,cash
1,13/06/22,2021,0.2,cash
2,31/08/21,2021,0.1,share
3,25/08/20,2020,0.12,share
4,20/06/19,2019,0.15,share
5,21/08/18,2018,0.15,cash
6,28/03/18,2017,0.15,cash
7,21/08/17,2017,0.15,cash
8,30/03/17,2016,0.15,cash
9,23/09/16,2015,0.15,cash
10,23/09/16,2016,0.15,cash
11,27/08/15,2015,0.15,cash
12,16/03/15,2014,0.15,cash
13,26/09/14,2014,0.15,cash
14,30/05/14,2014,0.1,share
15,20/02/14,2013,0.1,cash
16,19/08/13,2013,0.1,cash
17,16/04/13,2012,0.05,cash
18,26/12/12,2012,0.1,cash
19,18/06/12,2011,0.05,cash
