,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,10/03/23,2022,0.14,cash
1,31/03/22,2021,0.14,cash
2,15/01/21,2020,0.13,cash
3,06/01/20,2019,0.13,cash
4,11/02/19,2018,0.13,cash
5,17/01/18,2017,0.13,cash
6,09/03/17,2016,0.13,cash
7,28/01/16,2015,0.13,cash
8,29/12/14,2014,0.13,cash
9,27/12/13,2013,0.15,cash
10,08/03/13,2012,0.07,cash
11,29/10/12,2012,0.08,cash
12,29/02/12,2011,0.13,cash
13,02/03/11,2010,0.13,cash
14,08/02/10,2009,0.12,cash
15,03/12/08,2008,0.06,cash
16,04/09/08,2008,0.06,cash
17,12/03/08,2007,0.06,cash
18,16/01/08,2007,0.06,cash
19,22/02/07,2006,0.06,cash
