,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,26/02/20,2019,0.05,cash
1,10/07/19,2019,0.05,cash
2,21/02/19,2018,0.03,cash
3,07/11/18,2018,0.05,cash
4,21/02/18,2017,0.05,cash
5,08/02/17,2016,0.05,cash
6,25/12/15,2015,0.06,cash
7,05/02/15,2014,0.1,cash
8,25/02/14,2013,0.1,cash
9,10/07/13,2012,0.05,cash
10,10/07/13,2013,0.15,share
11,13/11/12,2012,0.1,cash
12,25/04/12,2011,0.12,cash
13,07/12/11,2011,0.12,cash
14,01/08/11,2011,0.18,cash
15,02/03/11,2010,0.2,cash
16,31/08/10,2010,0.1,cash
17,14/04/10,2009,0.15,cash
18,24/03/10,2010,0.15,share
19,03/11/09,2009,0.1,share
