,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,13/05/22,2021,0.24,cash
1,14/06/21,2020,0.22,cash
2,04/06/20,2019,0.171,cash
3,06/06/19,2018,0.15,cash
4,18/05/18,2017,0.225,cash
5,29/05/17,2016,0.33,cash
6,02/06/16,2015,0.12,cash
7,22/04/15,2014,0.08,cash
8,25/04/14,2013,0.05,cash
9,02/05/13,2012,0.06,cash
10,09/05/12,2011,0.09,cash
11,18/05/11,2010,0.1,cash
12,21/05/10,2009,0.04,cash
13,12/01/10,2009,0.08,cash
14,15/12/08,2008,0.06,cash
15,12/03/08,2007,0.12,cash
16,22/03/07,2006,0.14,cash
17,30/12/05,2005,0.12,cash
18,06/01/05,2004,0.12,cash
