,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,21/06/22,2022,0.25,share
1,28/06/21,2021,0.25,share
2,28/05/20,2020,0.15,share
3,05/06/19,2019,0.15,share
4,27/06/18,2018,0.12,share
5,15/06/17,2016,0.1,cash
6,01/12/16,2016,0.1,share
7,26/11/15,2014,0.05,cash
8,17/12/14,2014,0.15,share
9,06/02/14,2012,0.1,cash
10,06/06/12,2012,0.15,share
11,14/03/12,2011,0.1,cash
12,16/05/11,2011,0.2,share
13,26/08/10,2010,0.1,cash
14,16/04/10,2009,0.1,cash
15,16/04/10,2010,0.1,share
16,12/11/09,2009,0.1,share
17,18/05/09,2008,0.01,cash
18,10/12/08,2008,0.18,cash
19,14/03/08,2007,0.18,cash
