,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,19/04/21,2020,0.18,cash
1,27/11/20,2019,0.32,cash
2,27/11/20,2020,0.18,cash
3,07/11/19,2019,0.5,cash
4,27/02/19,2018,0.2,cash
5,29/11/18,2018,0.4,cash
6,06/09/18,2017,0.7,cash
7,19/03/18,2017,0.3,cash
8,11/10/17,2017,0.3,cash
9,06/07/17,2017,0.333,share
10,15/03/17,2016,0.3,cash
11,29/09/16,2016,0.3,cash
12,29/06/16,2016,0.25,share
13,12/08/15,2015,0.3,cash
14,13/02/15,2014,0.3,cash
15,13/08/14,2014,0.3,cash
16,10/03/14,2013,0.36,cash
17,26/08/13,2013,0.3,cash
18,29/03/13,2012,0.27,cash
19,05/12/12,2012,0.2,cash
