,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,14/07/22,2022,0.08,cash
1,04/01/22,2021,0.07,cash
2,15/07/21,2021,0.08,cash
3,11/01/21,2020,0.04,cash
4,24/09/20,2020,0.097,share
5,21/07/20,2020,0.08,cash
6,10/12/19,2019,0.07,cash
7,26/08/19,2019,0.05,cash
8,26/08/19,2019,0.136,share
9,27/12/18,2018,0.1,cash
10,23/07/18,2018,0.12,cash
11,27/12/17,2017,0.05,cash
12,08/11/17,2017,0.15,cash
13,13/03/17,2016,0.05,cash
14,13/01/16,2015,0.08,cash
15,25/02/15,2014,0.1,cash
16,27/06/14,2014,0.1,cash
17,10/03/14,2013,0.1,cash
18,20/09/13,2013,0.1,cash
19,24/11/12,2012,0.1,cash
